Timestamp: 2025-04-14 11:04:27
Intersection: cross
Total reward: -5693.00
Epsilon: 1.0
Simulation duration: 174.3s
Avg queue length: 1.42
Cumulative wait time: 7674.00
Fault injected: ❌ No
Total Emergency Delay: 10414.00

Action Distribution:
Action 0: 92 times
Action 1: 89 times
Action 2: 91 times
Action 3: 100 times

Q-Value Log Per Step:
Step 0 | Action: 3 (exploration)
Step 1135 | Action: 3 (exploration)
Step 1152 | Action: 0 (exploration)
Step 1171 | Action: 2 (exploration)
Step 1191 | Action: 3 (exploration)
Step 1205 | Action: 3 (exploration)
Step 1215 | Action: 3 (exploration)
Step 1226 | Action: 1 (exploration)
Step 1241 | Action: 3 (exploration)
Step 1257 | Action: 1 (exploration)
Step 1273 | Action: 0 (exploration)
Step 1290 | Action: 0 (exploration)
Step 1301 | Action: 1 (exploration)
Step 1317 | Action: 3 (exploration)
Step 1334 | Action: 1 (exploration)
Step 1353 | Action: 2 (exploration)
Step 1375 | Action: 0 (exploration)
Step 1393 | Action: 3 (exploration)
Step 1407 | Action: 1 (exploration)
Step 1421 | Action: 1 (exploration)
Step 1434 | Action: 2 (exploration)
Step 1454 | Action: 2 (exploration)
Step 1465 | Action: 2 (exploration)
Step 1477 | Action: 1 (exploration)
Step 1494 | Action: 2 (exploration)
Step 1513 | Action: 3 (exploration)
Step 1534 | Action: 1 (exploration)
Step 1558 | Action: 3 (exploration)
Step 1582 | Action: 2 (exploration)
Step 1606 | Action: 1 (exploration)
Step 1630 | Action: 2 (exploration)
Step 1654 | Action: 0 (exploration)
Step 1688 | Action: 0 (exploration)
Step 1701 | Action: 1 (exploration)
Step 1719 | Action: 0 (exploration)
Step 1740 | Action: 2 (exploration)
Step 1761 | Action: 3 (exploration)
Step 1779 | Action: 1 (exploration)
Step 1795 | Action: 1 (exploration)
Step 1806 | Action: 1 (exploration)
Step 1818 | Action: 1 (exploration)
Step 1832 | Action: 0 (exploration)
Step 1853 | Action: 3 (exploration)
Step 1871 | Action: 3 (exploration)
Step 1884 | Action: 3 (exploration)
Step 1898 | Action: 3 (exploration)
Step 1915 | Action: 1 (exploration)
Step 1939 | Action: 2 (exploration)
Step 1963 | Action: 1 (exploration)
Step 1979 | Action: 2 (exploration)
Step 1996 | Action: 2 (exploration)
Step 2011 | Action: 3 (exploration)
Step 2042 | Action: 2 (exploration)
Step 2066 | Action: 0 (exploration)
Step 2090 | Action: 0 (exploration)
Step 2100 | Action: 0 (exploration)
Step 2111 | Action: 0 (exploration)
Step 2123 | Action: 3 (exploration)
Step 2142 | Action: 3 (exploration)
Step 2161 | Action: 0 (exploration)
Step 2185 | Action: 3 (exploration)
Step 2209 | Action: 3 (exploration)
Step 2229 | Action: 2 (exploration)
Step 2253 | Action: 1 (exploration)
Step 2271 | Action: 2 (exploration)
Step 2285 | Action: 0 (exploration)
Step 2299 | Action: 1 (exploration)
Step 2313 | Action: 2 (exploration)
Step 2327 | Action: 0 (exploration)
Step 2341 | Action: 2 (exploration)
Step 2355 | Action: 3 (exploration)
Step 2369 | Action: 3 (exploration)
Step 2379 | Action: 2 (exploration)
Step 2394 | Action: 2 (exploration)
Step 2405 | Action: 0 (exploration)
Step 2421 | Action: 0 (exploration)
Step 2431 | Action: 3 (exploration)
Step 2445 | Action: 3 (exploration)
Step 2455 | Action: 2 (exploration)
Step 2469 | Action: 0 (exploration)
Step 2483 | Action: 0 (exploration)
Step 2493 | Action: 0 (exploration)
Step 2503 | Action: 0 (exploration)
Step 2513 | Action: 2 (exploration)
Step 2527 | Action: 1 (exploration)
Step 2541 | Action: 3 (exploration)
Step 2555 | Action: 3 (exploration)
Step 2565 | Action: 0 (exploration)
Step 2580 | Action: 1 (exploration)
Step 2595 | Action: 3 (exploration)
Step 2610 | Action: 2 (exploration)
Step 2626 | Action: 3 (exploration)
Step 2640 | Action: 2 (exploration)
Step 2654 | Action: 1 (exploration)
Step 2668 | Action: 0 (exploration)
Step 2683 | Action: 3 (exploration)
Step 2697 | Action: 0 (exploration)
Step 2711 | Action: 2 (exploration)
Step 2725 | Action: 0 (exploration)
Step 2739 | Action: 2 (exploration)
Step 2753 | Action: 2 (exploration)
Step 2763 | Action: 0 (exploration)
Step 2777 | Action: 2 (exploration)
Step 2791 | Action: 0 (exploration)
Step 2805 | Action: 3 (exploration)
Step 2819 | Action: 2 (exploration)
Step 2833 | Action: 2 (exploration)
Step 2853 | Action: 1 (exploration)
Step 2870 | Action: 0 (exploration)
Step 2887 | Action: 0 (exploration)
Step 2900 | Action: 3 (exploration)
Step 2917 | Action: 0 (exploration)
Step 2934 | Action: 1 (exploration)
Step 2952 | Action: 3 (exploration)
Step 2971 | Action: 3 (exploration)
Step 2986 | Action: 2 (exploration)
Step 3006 | Action: 3 (exploration)
Step 3021 | Action: 1 (exploration)
Step 3037 | Action: 0 (exploration)
Step 3054 | Action: 0 (exploration)
Step 3064 | Action: 2 (exploration)
Step 3078 | Action: 0 (exploration)
Step 3092 | Action: 0 (exploration)
Step 3102 | Action: 3 (exploration)
Step 3116 | Action: 0 (exploration)
Step 3130 | Action: 2 (exploration)
Step 3145 | Action: 3 (exploration)
Step 3159 | Action: 1 (exploration)
Step 3173 | Action: 1 (exploration)
Step 3183 | Action: 1 (exploration)
Step 3193 | Action: 3 (exploration)
Step 3207 | Action: 2 (exploration)
Step 3221 | Action: 2 (exploration)
Step 3231 | Action: 3 (exploration)
Step 3245 | Action: 0 (exploration)
Step 3259 | Action: 1 (exploration)
Step 3273 | Action: 0 (exploration)
Step 3287 | Action: 1 (exploration)
Step 3301 | Action: 2 (exploration)
Step 3315 | Action: 3 (exploration)
Step 3329 | Action: 3 (exploration)
Step 3339 | Action: 3 (exploration)
Step 3349 | Action: 1 (exploration)
Step 3364 | Action: 3 (exploration)
Step 3380 | Action: 1 (exploration)
Step 3397 | Action: 3 (exploration)
Step 3415 | Action: 0 (exploration)
Step 3434 | Action: 0 (exploration)
Step 3447 | Action: 2 (exploration)
Step 3464 | Action: 1 (exploration)
Step 3478 | Action: 3 (exploration)
Step 3492 | Action: 1 (exploration)
Step 3506 | Action: 3 (exploration)
Step 3520 | Action: 2 (exploration)
Step 3534 | Action: 3 (exploration)
Step 3548 | Action: 1 (exploration)
Step 3562 | Action: 2 (exploration)
Step 3576 | Action: 2 (exploration)
Step 3587 | Action: 3 (exploration)
Step 3603 | Action: 0 (exploration)
Step 3620 | Action: 1 (exploration)
Step 3634 | Action: 3 (exploration)
Step 3649 | Action: 3 (exploration)
Step 3660 | Action: 3 (exploration)
Step 3672 | Action: 1 (exploration)
Step 3688 | Action: 1 (exploration)
Step 3701 | Action: 1 (exploration)
Step 3714 | Action: 1 (exploration)
Step 3727 | Action: 1 (exploration)
Step 3741 | Action: 2 (exploration)
Step 3759 | Action: 3 (exploration)
Step 3773 | Action: 1 (exploration)
Step 3787 | Action: 1 (exploration)
Step 3797 | Action: 2 (exploration)
Step 3811 | Action: 1 (exploration)
Step 3825 | Action: 2 (exploration)
Step 3839 | Action: 0 (exploration)
Step 3853 | Action: 0 (exploration)
Step 3863 | Action: 1 (exploration)
Step 3877 | Action: 1 (exploration)
Step 3887 | Action: 0 (exploration)
Step 3901 | Action: 0 (exploration)
Step 3912 | Action: 1 (exploration)
Step 3927 | Action: 0 (exploration)
Step 3942 | Action: 0 (exploration)
Step 3954 | Action: 1 (exploration)
Step 3970 | Action: 0 (exploration)
Step 3987 | Action: 0 (exploration)
Step 4000 | Action: 3 (exploration)
Step 4018 | Action: 2 (exploration)
Step 4036 | Action: 3 (exploration)
Step 4050 | Action: 3 (exploration)
Step 4060 | Action: 2 (exploration)
Step 4074 | Action: 0 (exploration)
Step 4088 | Action: 0 (exploration)
Step 4098 | Action: 2 (exploration)
Step 4112 | Action: 2 (exploration)
Step 4122 | Action: 1 (exploration)
Step 4136 | Action: 3 (exploration)
Step 4150 | Action: 0 (exploration)
Step 4164 | Action: 2 (exploration)
Step 4178 | Action: 2 (exploration)
Step 4188 | Action: 0 (exploration)
Step 4202 | Action: 2 (exploration)
Step 4216 | Action: 0 (exploration)
Step 4230 | Action: 2 (exploration)
Step 4244 | Action: 3 (exploration)
Step 4258 | Action: 1 (exploration)
Step 4272 | Action: 2 (exploration)
Step 4286 | Action: 0 (exploration)
Step 4300 | Action: 1 (exploration)
Step 4314 | Action: 1 (exploration)
Step 4324 | Action: 3 (exploration)
Step 4338 | Action: 0 (exploration)
Step 4352 | Action: 3 (exploration)
Step 4366 | Action: 0 (exploration)
Step 4380 | Action: 0 (exploration)
Step 4390 | Action: 0 (exploration)
Step 4400 | Action: 3 (exploration)
Step 4414 | Action: 1 (exploration)
Step 4428 | Action: 0 (exploration)
Step 4442 | Action: 2 (exploration)
Step 4456 | Action: 0 (exploration)
Step 4470 | Action: 1 (exploration)
Step 4484 | Action: 2 (exploration)
Step 4498 | Action: 3 (exploration)
Step 4512 | Action: 2 (exploration)
Step 4526 | Action: 1 (exploration)
Step 4540 | Action: 3 (exploration)
Step 4554 | Action: 0 (exploration)
Step 4568 | Action: 2 (exploration)
Step 4582 | Action: 1 (exploration)
Step 4596 | Action: 2 (exploration)
Step 4610 | Action: 1 (exploration)
Step 4624 | Action: 1 (exploration)
Step 4634 | Action: 3 (exploration)
Step 4648 | Action: 3 (exploration)
Step 4658 | Action: 0 (exploration)
Step 4672 | Action: 2 (exploration)
Step 4686 | Action: 3 (exploration)
Step 4700 | Action: 0 (exploration)
Step 4714 | Action: 0 (exploration)
Step 4724 | Action: 2 (exploration)
Step 4738 | Action: 3 (exploration)
Step 4752 | Action: 2 (exploration)
Step 4766 | Action: 3 (exploration)
Step 4780 | Action: 3 (exploration)
Step 4790 | Action: 2 (exploration)
Step 4804 | Action: 0 (exploration)
Step 4818 | Action: 2 (exploration)
Step 4832 | Action: 2 (exploration)
Step 4842 | Action: 3 (exploration)
Step 4856 | Action: 3 (exploration)
Step 4866 | Action: 3 (exploration)
Step 4876 | Action: 3 (exploration)
Step 4886 | Action: 1 (exploration)
Step 4900 | Action: 3 (exploration)
Step 4914 | Action: 1 (exploration)
Step 4928 | Action: 2 (exploration)
Step 4942 | Action: 3 (exploration)
Step 4956 | Action: 0 (exploration)
Step 4970 | Action: 1 (exploration)
Step 4984 | Action: 3 (exploration)
Step 4998 | Action: 3 (exploration)
Step 5008 | Action: 0 (exploration)
Step 5022 | Action: 2 (exploration)
Step 5036 | Action: 2 (exploration)
Step 5046 | Action: 2 (exploration)
Step 5056 | Action: 1 (exploration)
Step 5070 | Action: 3 (exploration)
Step 5084 | Action: 0 (exploration)
Step 5098 | Action: 3 (exploration)
Step 5112 | Action: 1 (exploration)
Step 5126 | Action: 0 (exploration)
Step 5140 | Action: 1 (exploration)
Step 5154 | Action: 2 (exploration)
Step 5168 | Action: 0 (exploration)
Step 5182 | Action: 3 (exploration)
Step 5196 | Action: 3 (exploration)
Step 5206 | Action: 0 (exploration)
Step 5220 | Action: 2 (exploration)
Step 5234 | Action: 3 (exploration)
Step 5248 | Action: 2 (exploration)
Step 5262 | Action: 0 (exploration)
Step 5276 | Action: 3 (exploration)
Step 5290 | Action: 3 (exploration)
Step 5300 | Action: 1 (exploration)
Step 5314 | Action: 1 (exploration)
Step 5324 | Action: 2 (exploration)
Step 5338 | Action: 0 (exploration)
Step 5352 | Action: 3 (exploration)
Step 5366 | Action: 1 (exploration)
Step 5380 | Action: 3 (exploration)
Step 5394 | Action: 1 (exploration)

Queue Interrupt Log:
