[Step 0] Agent 0 Action: 2, Reward: 0.0000
[Simulate] Step 42: Queue length 0, Waiting time 0.0
[Simulate] Step 43: Queue length 0, Waiting time 0.0
[Simulate] Step 44: Queue length 0, Waiting time 0.0
[Step 44] Adaptive green duration: 40
[Simulate] Step 45: Queue length 0, Waiting time 0.0
[Simulate] Step 46: Queue length 0, Waiting time 0.0
[Simulate] Step 47: Queue length 0, Waiting time 0.0
[Simulate] Step 48: Queue length 0, Waiting time 0.0
[Simulate] Step 49: Queue length 0, Waiting time 0.0
[Simulate] Step 50: Queue length 0, Waiting time 0.0
[Simulate] Step 51: Queue length 0, Waiting time 0.0
[Simulate] Step 52: Queue length 0, Waiting time 0.0
[Simulate] Step 53: Queue length 0, Waiting time 0.0
[Simulate] Step 54: Queue length 0, Waiting time 0.0
[Simulate] Step 55: Queue length 0, Waiting time 0.0
[Simulate] Step 56: Queue length 0, Waiting time 0.0
[Simulate] Step 57: Queue length 0, Waiting time 0.0
[Simulate] Step 58: Queue length 0, Waiting time 0.0
[Simulate] Step 59: Queue length 0, Waiting time 0.0
[Simulate] Step 60: Queue length 0, Waiting time 0.0
[Simulate] Step 61: Queue length 0, Waiting time 0.0
[Simulate] Step 62: Queue length 0, Waiting time 0.0
[Simulate] Step 63: Queue length 0, Waiting time 0.0
[Simulate] Step 64: Queue length 0, Waiting time 0.0
[Simulate] Step 65: Queue length 0, Waiting time 0.0
[Simulate] Step 66: Queue length 0, Waiting time 0.0
[Simulate] Step 67: Queue length 0, Waiting time 0.0
[Simulate] Step 68: Queue length 0, Waiting time 0.0
[Simulate] Step 69: Queue length 0, Waiting time 0.0
[Simulate] Step 70: Queue length 0, Waiting time 0.0
[Simulate] Step 71: Queue length 0, Waiting time 0.0
[Simulate] Step 72: Queue length 0, Waiting time 0.0
[Simulate] Step 73: Queue length 0, Waiting time 0.0
[Simulate] Step 74: Queue length 0, Waiting time 0.0
[Simulate] Step 75: Queue length 0, Waiting time 0.0
[Simulate] Step 76: Queue length 0, Waiting time 0.0
[Simulate] Step 77: Queue length 0, Waiting time 0.0
[Simulate] Step 78: Queue length 0, Waiting time 0.0
[Simulate] Step 79: Queue length 0, Waiting time 0.0
[Simulate] Step 80: Queue length 0, Waiting time 0.0
[Simulate] Step 81: Queue length 0, Waiting time 0.0
[Simulate] Step 82: Queue length 0, Waiting time 0.0
[Simulate] Step 83: Queue length 0, Waiting time 0.0
[Simulate] Step 84: Queue length 0, Waiting time 0.0
[Step 84] Agent 0 Action: 2, Reward: 0.0000
[SetYellow] TL TL: Set yellow phase 7 out of 8 phases.
[Simulate] Step 85: Queue length 0, Waiting time 0.0
[Simulate] Step 86: Queue length 0, Waiting time 0.0
[Simulate] Step 87: Queue length 0, Waiting time 0.0
[Simulate] Step 88: Queue length 0, Waiting time 0.0
[Step 88] Adaptive green duration: 40
[Simulate] Step 89: Queue length 0, Waiting time 0.0
[Simulate] Step 90: Queue length 0, Waiting time 0.0
[Simulate] Step 91: Queue length 0, Waiting time 0.0
[Simulate] Step 92: Queue length 0, Waiting time 0.0
[Simulate] Step 93: Queue length 0, Waiting time 0.0
[Simulate] Step 94: Queue length 0, Waiting time 0.0
[Simulate] Step 95: Queue length 0, Waiting time 0.0
[Simulate] Step 96: Queue length 0, Waiting time 0.0
[Simulate] Step 97: Queue length 0, Waiting time 0.0
[Simulate] Step 98: Queue length 0, Waiting time 0.0
[Simulate] Step 99: Queue length 0, Waiting time 0.0
[Simulate] Step 100: Queue length 0, Waiting time 0.0
[Simulate] Step 101: Queue length 0, Waiting time 0.0
[Simulate] Step 102: Queue length 0, Waiting time 0.0
[Simulate] Step 103: Queue length 0, Waiting time 0.0
[Simulate] Step 104: Queue length 0, Waiting time 0.0
[Simulate] Step 105: Queue length 0, Waiting time 0.0
[Simulate] Step 106: Queue length 0, Waiting time 0.0
[Simulate] Step 107: Queue length 0, Waiting time 0.0
[Simulate] Step 108: Queue length 0, Waiting time 0.0
[Simulate] Step 109: Queue length 0, Waiting time 0.0
[Simulate] Step 110: Queue length 0, Waiting time 0.0
[Simulate] Step 111: Queue length 0, Waiting time 0.0
[Simulate] Step 112: Queue length 0, Waiting time 0.0
[Simulate] Step 113: Queue length 0, Waiting time 0.0
[Simulate] Step 114: Queue length 0, Waiting time 0.0
[Simulate] Step 115: Queue length 0, Waiting time 0.0
[Simulate] Step 116: Queue length 0, Waiting time 0.0
[Simulate] Step 117: Queue length 0, Waiting time 0.0
[Simulate] Step 118: Queue length 0, Waiting time 0.0
[Simulate] Step 119: Queue length 0, Waiting time 0.0
[Simulate] Step 120: Queue length 0, Waiting time 0.0
[Simulate] Step 121: Queue length 0, Waiting time 0.0
[Simulate] Step 122: Queue length 0, Waiting time 0.0
[Simulate] Step 123: Queue length 0, Waiting time 0.0
[Simulate] Step 124: Queue length 0, Waiting time 0.0
[Simulate] Step 125: Queue length 0, Waiting time 0.0
[Simulate] Step 126: Queue length 0, Waiting time 0.0
[Simulate] Step 127: Queue length 0, Waiting time 0.0
[Simulate] Step 128: Queue length 0, Waiting time 0.0
[Step 128] Agent 0 Action: 3, Reward: -0.1000
[SetYellow] TL TL: Set yellow phase 5 out of 8 phases.
[Simulate] Step 129: Queue length 0, Waiting time 0.0
[Simulate] Step 130: Queue length 0, Waiting time 0.0
[Simulate] Step 131: Queue length 0, Waiting time 0.0
[Simulate] Step 132: Queue length 0, Waiting time 0.0
[Step 132] Adaptive green duration: 40
[Simulate] Step 133: Queue length 0, Waiting time 0.0
[Simulate] Step 134: Queue length 0, Waiting time 0.0
[Simulate] Step 135: Queue length 0, Waiting time 0.0
[Simulate] Step 136: Queue length 0, Waiting time 0.0
[Simulate] Step 137: Queue length 0, Waiting time 0.0
[Simulate] Step 138: Queue length 0, Waiting time 0.0
[Simulate] Step 139: Queue length 0, Waiting time 0.0
[Simulate] Step 140: Queue length 0, Waiting time 0.0
[Simulate] Step 141: Queue length 0, Waiting time 0.0
[Simulate] Step 142: Queue length 0, Waiting time 0.0
[Simulate] Step 143: Queue length 0, Waiting time 0.0
[Simulate] Step 144: Queue length 0, Waiting time 0.0
[Simulate] Step 145: Queue length 0, Waiting time 0.0
[Simulate] Step 146: Queue length 0, Waiting time 0.0
[Simulate] Step 147: Queue length 0, Waiting time 0.0
[Simulate] Step 148: Queue length 0, Waiting time 0.0
[Simulate] Step 149: Queue length 0, Waiting time 0.0
[Simulate] Step 150: Queue length 0, Waiting time 0.0
[Simulate] Step 151: Queue length 0, Waiting time 0.0
[Simulate] Step 152: Queue length 0, Waiting time 0.0
[Simulate] Step 153: Queue length 0, Waiting time 0.0
[Simulate] Step 154: Queue length 0, Waiting time 0.0
[Simulate] Step 155: Queue length 0, Waiting time 0.0
[Simulate] Step 156: Queue length 0, Waiting time 0.0
[Simulate] Step 157: Queue length 0, Waiting time 0.0
[Simulate] Step 158: Queue length 0, Waiting time 0.0
[Simulate] Step 159: Queue length 0, Waiting time 0.0
[Simulate] Step 160: Queue length 0, Waiting time 0.0
[Simulate] Step 161: Queue length 0, Waiting time 0.0
[Simulate] Step 162: Queue length 0, Waiting time 0.0
[Simulate] Step 163: Queue length 0, Waiting time 0.0
[Simulate] Step 164: Queue length 0, Waiting time 0.0
[Simulate] Step 165: Queue length 0, Waiting time 0.0
[Simulate] Step 166: Queue length 0, Waiting time 0.0
[Simulate] Step 167: Queue length 0, Waiting time 0.0
[Simulate] Step 168: Queue length 0, Waiting time 0.0
[Simulate] Step 169: Queue length 0, Waiting time 0.0
[Simulate] Step 170: Queue length 0, Waiting time 0.0
[Simulate] Step 171: Queue length 0, Waiting time 0.0
[Simulate] Step 172: Queue length 0, Waiting time 0.0
[Step 172] Agent 0 Action: 1, Reward: -0.1000
[SetYellow] TL TL: Set yellow phase 7 out of 8 phases.
[Simulate] Step 173: Queue length 0, Waiting time 0.0
[Simulate] Step 174: Queue length 0, Waiting time 0.0
[Simulate] Step 175: Queue length 0, Waiting time 0.0
[Simulate] Step 176: Queue length 0, Waiting time 0.0
[Step 176] Adaptive green duration: 40
[Simulate] Step 177: Queue length 0, Waiting time 0.0
[Simulate] Step 178: Queue length 0, Waiting time 0.0
[Simulate] Step 179: Queue length 0, Waiting time 0.0
[Simulate] Step 180: Queue length 1, Waiting time 1.0
[Simulate] Step 181: Queue length 1, Waiting time 2.0
[Simulate] Step 182: Queue length 1, Waiting time 3.0
[Simulate] Step 183: Queue length 1, Waiting time 4.0
[Simulate] Step 184: Queue length 1, Waiting time 5.0
[Simulate] Step 185: Queue length 1, Waiting time 6.0
[Simulate] Step 186: Queue length 1, Waiting time 7.0
[Simulate] Step 187: Queue length 1, Waiting time 8.0
[Simulate] Step 188: Queue length 1, Waiting time 9.0
[Simulate] Step 189: Queue length 1, Waiting time 10.0
[Simulate] Step 190: Queue length 1, Waiting time 11.0
[Simulate] Step 191: Queue length 1, Waiting time 12.0
[Simulate] Step 192: Queue length 1, Waiting time 13.0
[Simulate] Step 193: Queue length 1, Waiting time 14.0
[Simulate] Step 194: Queue length 1, Waiting time 15.0
[Simulate] Step 195: Queue length 1, Waiting time 16.0
[Simulate] Step 196: Queue length 1, Waiting time 17.0
[Simulate] Step 197: Queue length 1, Waiting time 18.0
[Simulate] Step 198: Queue length 1, Waiting time 19.0
[Simulate] Step 199: Queue length 1, Waiting time 20.0
[Simulate] Step 200: Queue length 1, Waiting time 21.0
[Simulate] Step 201: Queue length 1, Waiting time 22.0
[Simulate] Step 202: Queue length 1, Waiting time 23.0
[Simulate] Step 203: Queue length 1, Waiting time 24.0
[Simulate] Step 204: Queue length 1, Waiting time 25.0
[Simulate] Step 205: Queue length 1, Waiting time 26.0
[Simulate] Step 206: Queue length 1, Waiting time 27.0
[Simulate] Step 207: Queue length 1, Waiting time 28.0
[Simulate] Step 208: Queue length 1, Waiting time 29.0
[Simulate] Step 209: Queue length 1, Waiting time 30.0
[Simulate] Step 210: Queue length 1, Waiting time 31.0
[Simulate] Step 211: Queue length 1, Waiting time 32.0
[Simulate] Step 212: Queue length 1, Waiting time 33.0
[Simulate] Step 213: Queue length 1, Waiting time 34.0
[Simulate] Step 214: Queue length 1, Waiting time 35.0
[Simulate] Step 215: Queue length 1, Waiting time 36.0
[Simulate] Step 216: Queue length 1, Waiting time 37.0
[Step 216] Agent 0 Action: 2, Reward: -0.1840
[SetYellow] TL TL: Set yellow phase 3 out of 8 phases.
[Simulate] Step 217: Queue length 1, Waiting time 38.0
[Simulate] Step 218: Queue length 1, Waiting time 39.0
[Simulate] Step 219: Queue length 1, Waiting time 40.0
[Simulate] Step 220: Queue length 1, Waiting time 41.0
[Step 220] Adaptive green duration: 41
[Simulate] Step 221: Queue length 1, Waiting time 42.0
[Simulate] Step 222: Queue length 1, Waiting time 43.0
[Simulate] Step 223: Queue length 1, Waiting time 44.0
[Simulate] Step 224: Queue length 1, Waiting time 45.0
[Simulate] Step 225: Queue length 1, Waiting time 46.0
[Simulate] Step 226: Queue length 1, Waiting time 47.0
[Simulate] Step 227: Queue length 1, Waiting time 48.0
[Simulate] Step 228: Queue length 1, Waiting time 49.0
[Simulate] Step 229: Queue length 1, Waiting time 50.0
[Simulate] Step 230: Queue length 1, Waiting time 51.0
[Simulate] Step 231: Queue length 1, Waiting time 52.0
[Simulate] Step 232: Queue length 1, Waiting time 53.0
[Simulate] Step 233: Queue length 1, Waiting time 54.0
[Simulate] Step 234: Queue length 1, Waiting time 55.0
[Simulate] Step 235: Queue length 1, Waiting time 56.0
[Simulate] Step 236: Queue length 1, Waiting time 57.0
[Simulate] Step 237: Queue length 1, Waiting time 58.0
[Simulate] Step 238: Queue length 1, Waiting time 59.0
[Simulate] Step 239: Queue length 1, Waiting time 60.0
[Simulate] Step 240: Queue length 1, Waiting time 61.0
[Simulate] Step 241: Queue length 1, Waiting time 62.0
[Simulate] Step 242: Queue length 1, Waiting time 63.0
[Simulate] Step 243: Queue length 1, Waiting time 64.0
[Simulate] Step 244: Queue length 1, Waiting time 65.0
[Simulate] Step 245: Queue length 1, Waiting time 66.0
[Simulate] Step 246: Queue length 1, Waiting time 67.0
[Simulate] Step 247: Queue length 1, Waiting time 68.0
[Simulate] Step 248: Queue length 1, Waiting time 69.0
[Simulate] Step 249: Queue length 1, Waiting time 70.0
[Simulate] Step 250: Queue length 1, Waiting time 71.0
[Simulate] Step 251: Queue length 1, Waiting time 72.0
[Simulate] Step 252: Queue length 1, Waiting time 73.0
[Simulate] Step 253: Queue length 1, Waiting time 74.0
[Simulate] Step 254: Queue length 1, Waiting time 75.0
[Simulate] Step 255: Queue length 1, Waiting time 76.0
[Simulate] Step 256: Queue length 1, Waiting time 77.0
[Simulate] Step 257: Queue length 1, Waiting time 78.0
[Simulate] Step 258: Queue length 2, Waiting time 80.0
[Simulate] Step 259: Queue length 2, Waiting time 82.0
[Simulate] Step 260: Queue length 2, Waiting time 84.0
[Simulate] Step 261: Queue length 2, Waiting time 86.0
[Step 261] Agent 0 Action: 1, Reward: -0.1080
[SetYellow] TL TL: Set yellow phase 5 out of 8 phases.
[Simulate] Step 262: Queue length 2, Waiting time 88.0
[Simulate] Step 263: Queue length 2, Waiting time 90.0
[Simulate] Step 264: Queue length 2, Waiting time 92.0
[Simulate] Step 265: Queue length 2, Waiting time 94.0
[Step 265] Adaptive green duration: 42
[Simulate] Step 266: Queue length 1, Waiting time 95.0
[Simulate] Step 267: Queue length 1, Waiting time 88.0
[Simulate] Step 268: Queue length 1, Waiting time 89.0
[Simulate] Step 269: Queue length 1, Waiting time 90.0
[Simulate] Step 270: Queue length 1, Waiting time 91.0
[Simulate] Step 271: Queue length 1, Waiting time 92.0
[Simulate] Step 272: Queue length 1, Waiting time 93.0
[Simulate] Step 273: Queue length 1, Waiting time 94.0
[Simulate] Step 274: Queue length 1, Waiting time 95.0
[Simulate] Step 275: Queue length 1, Waiting time 96.0
[Simulate] Step 276: Queue length 1, Waiting time 97.0
[Simulate] Step 277: Queue length 1, Waiting time 98.0
[Simulate] Step 278: Queue length 1, Waiting time 99.0
[Simulate] Step 279: Queue length 1, Waiting time 100.0
[Simulate] Step 280: Queue length 1, Waiting time 101.0
[Simulate] Step 281: Queue length 1, Waiting time 102.0
[Simulate] Step 282: Queue length 1, Waiting time 103.0
[Simulate] Step 283: Queue length 1, Waiting time 104.0
[Simulate] Step 284: Queue length 1, Waiting time 105.0
[Simulate] Step 285: Queue length 1, Waiting time 106.0
[Simulate] Step 286: Queue length 1, Waiting time 107.0
[Simulate] Step 287: Queue length 1, Waiting time 108.0
[Simulate] Step 288: Queue length 1, Waiting time 109.0
[Simulate] Step 289: Queue length 1, Waiting time 110.0
[Simulate] Step 290: Queue length 1, Waiting time 111.0
[Simulate] Step 291: Queue length 1, Waiting time 112.0
[Simulate] Step 292: Queue length 1, Waiting time 113.0
[Simulate] Step 293: Queue length 1, Waiting time 114.0
[Simulate] Step 294: Queue length 1, Waiting time 115.0
[Simulate] Step 295: Queue length 1, Waiting time 116.0
[Simulate] Step 296: Queue length 1, Waiting time 117.0
[Simulate] Step 297: Queue length 1, Waiting time 118.0
[Simulate] Step 298: Queue length 1, Waiting time 119.0
[Simulate] Step 299: Queue length 1, Waiting time 120.0
[Simulate] Step 300: Queue length 1, Waiting time 121.0
[Simulate] Step 301: Queue length 1, Waiting time 122.0
[Simulate] Step 302: Queue length 1, Waiting time 123.0
[Simulate] Step 303: Queue length 2, Waiting time 125.0
[Simulate] Step 304: Queue length 3, Waiting time 128.0
[Simulate] Step 305: Queue length 3, Waiting time 131.0
[Simulate] Step 306: Queue length 3, Waiting time 134.0
[Simulate] Step 307: Queue length 3, Waiting time 137.0
[Step 307] Agent 0 Action: 3, Reward: -0.2120
[SetYellow] TL TL: Set yellow phase 3 out of 8 phases.
[Simulate] Step 308: Queue length 4, Waiting time 141.0
[Simulate] Step 309: Queue length 4, Waiting time 145.0
[Simulate] Step 310: Queue length 4, Waiting time 149.0
[Simulate] Step 311: Queue length 4, Waiting time 153.0
[Step 311] Adaptive green duration: 44
[Simulate] Step 312: Queue length 4, Waiting time 157.0
[Simulate] Step 313: Queue length 5, Waiting time 162.0
[Simulate] Step 314: Queue length 5, Waiting time 167.0
[Simulate] Step 315: Queue length 5, Waiting time 172.0
[Simulate] Step 316: Queue length 5, Waiting time 177.0
[Simulate] Step 317: Queue length 5, Waiting time 182.0
[Simulate] Step 318: Queue length 5, Waiting time 187.0
[Simulate] Step 319: Queue length 5, Waiting time 192.0
[Simulate] Step 320: Queue length 5, Waiting time 197.0
[Simulate] Step 321: Queue length 5, Waiting time 202.0
[Simulate] Step 322: Queue length 5, Waiting time 207.0
[Simulate] Step 323: Queue length 5, Waiting time 212.0
[Simulate] Step 324: Queue length 5, Waiting time 217.0
[Simulate] Step 325: Queue length 5, Waiting time 222.0
[Simulate] Step 326: Queue length 5, Waiting time 227.0
[Simulate] Step 327: Queue length 6, Waiting time 233.0
[Simulate] Step 328: Queue length 6, Waiting time 239.0
[Simulate] Step 329: Queue length 6, Waiting time 245.0
[Simulate] Step 330: Queue length 6, Waiting time 251.0
[Simulate] Step 331: Queue length 6, Waiting time 257.0
[Simulate] Step 332: Queue length 6, Waiting time 263.0
[Simulate] Step 333: Queue length 6, Waiting time 269.0
[Simulate] Step 334: Queue length 6, Waiting time 275.0
[Simulate] Step 335: Queue length 6, Waiting time 281.0
[Simulate] Step 336: Queue length 6, Waiting time 287.0
[Simulate] Step 337: Queue length 6, Waiting time 293.0
[Simulate] Step 338: Queue length 6, Waiting time 299.0
[Simulate] Step 339: Queue length 6, Waiting time 305.0
[Simulate] Step 340: Queue length 6, Waiting time 311.0
[Simulate] Step 341: Queue length 6, Waiting time 317.0
[Simulate] Step 342: Queue length 6, Waiting time 323.0
[Simulate] Step 343: Queue length 6, Waiting time 329.0
[Simulate] Step 344: Queue length 6, Waiting time 335.0
[Simulate] Step 345: Queue length 6, Waiting time 341.0
[Simulate] Step 346: Queue length 6, Waiting time 347.0
[Simulate] Step 347: Queue length 6, Waiting time 353.0
[Simulate] Step 348: Queue length 6, Waiting time 359.0
[Simulate] Step 349: Queue length 6, Waiting time 365.0
[Simulate] Step 350: Queue length 6, Waiting time 371.0
[Simulate] Step 351: Queue length 6, Waiting time 377.0
[Simulate] Step 352: Queue length 6, Waiting time 383.0
[Simulate] Step 353: Queue length 6, Waiting time 389.0
[Simulate] Step 354: Queue length 6, Waiting time 395.0
[Simulate] Step 355: Queue length 6, Waiting time 401.0
[Step 355] Agent 0 Action: 2, Reward: -0.6580
[SetYellow] TL TL: Set yellow phase 7 out of 8 phases.
[Simulate] Step 356: Queue length 6, Waiting time 407.0
[Simulate] Step 357: Queue length 6, Waiting time 413.0
[Simulate] Step 358: Queue length 6, Waiting time 419.0
[Simulate] Step 359: Queue length 6, Waiting time 425.0
[Step 359] Adaptive green duration: 50
[Simulate] Step 360: Queue length 2, Waiting time 427.0
[Simulate] Step 361: Queue length 1, Waiting time 230.0
[Simulate] Step 362: Queue length 1, Waiting time 231.0
[Simulate] Step 363: Queue length 1, Waiting time 232.0
[Simulate] Step 364: Queue length 1, Waiting time 233.0
[Simulate] Step 365: Queue length 1, Waiting time 186.0
[Simulate] Step 366: Queue length 1, Waiting time 187.0
[Simulate] Step 367: Queue length 1, Waiting time 188.0
[Simulate] Step 368: Queue length 1, Waiting time 189.0
[Simulate] Step 369: Queue length 1, Waiting time 190.0
[Simulate] Step 370: Queue length 1, Waiting time 191.0
[Simulate] Step 371: Queue length 1, Waiting time 192.0
[Simulate] Step 372: Queue length 1, Waiting time 193.0
[Simulate] Step 373: Queue length 1, Waiting time 194.0
[Simulate] Step 374: Queue length 1, Waiting time 195.0
[Simulate] Step 375: Queue length 1, Waiting time 196.0
[Simulate] Step 376: Queue length 1, Waiting time 197.0
[Simulate] Step 377: Queue length 1, Waiting time 198.0
[Simulate] Step 378: Queue length 1, Waiting time 199.0
[Simulate] Step 379: Queue length 1, Waiting time 200.0
[Simulate] Step 380: Queue length 1, Waiting time 201.0
[Simulate] Step 381: Queue length 1, Waiting time 202.0
[Simulate] Step 382: Queue length 1, Waiting time 203.0
[Simulate] Step 383: Queue length 1, Waiting time 204.0
[Simulate] Step 384: Queue length 1, Waiting time 205.0
[Simulate] Step 385: Queue length 1, Waiting time 206.0
[Simulate] Step 386: Queue length 1, Waiting time 207.0
[Simulate] Step 387: Queue length 1, Waiting time 208.0
[Simulate] Step 388: Queue length 1, Waiting time 209.0
[Simulate] Step 389: Queue length 2, Waiting time 211.0
[Simulate] Step 390: Queue length 2, Waiting time 213.0
[Simulate] Step 391: Queue length 2, Waiting time 215.0
[Simulate] Step 392: Queue length 2, Waiting time 217.0
[Simulate] Step 393: Queue length 2, Waiting time 219.0
[Simulate] Step 394: Queue length 2, Waiting time 221.0
[Simulate] Step 395: Queue length 2, Waiting time 223.0
[Simulate] Step 396: Queue length 2, Waiting time 225.0
[Simulate] Step 397: Queue length 2, Waiting time 227.0
[Simulate] Step 398: Queue length 2, Waiting time 229.0
[Simulate] Step 399: Queue length 2, Waiting time 231.0
[Simulate] Step 400: Queue length 2, Waiting time 233.0
[Simulate] Step 401: Queue length 2, Waiting time 235.0
[Simulate] Step 402: Queue length 2, Waiting time 237.0
[Simulate] Step 403: Queue length 2, Waiting time 239.0
[Simulate] Step 404: Queue length 2, Waiting time 241.0
[Simulate] Step 405: Queue length 2, Waiting time 243.0
[Simulate] Step 406: Queue length 2, Waiting time 245.0
[Simulate] Step 407: Queue length 2, Waiting time 247.0
[Simulate] Step 408: Queue length 2, Waiting time 249.0
[Simulate] Step 409: Queue length 2, Waiting time 251.0
[Step 409] Agent 0 Action: 3, Reward: 0.2400
[SetYellow] TL TL: Set yellow phase 5 out of 8 phases.
[Simulate] Step 410: Queue length 2, Waiting time 253.0
[Simulate] Step 411: Queue length 2, Waiting time 255.0
[Simulate] Step 412: Queue length 2, Waiting time 257.0
[Simulate] Step 413: Queue length 2, Waiting time 259.0
[Step 413] Adaptive green duration: 47
[Simulate] Step 414: Queue length 2, Waiting time 261.0
[Simulate] Step 415: Queue length 2, Waiting time 263.0
[Simulate] Step 416: Queue length 2, Waiting time 265.0
[Simulate] Step 417: Queue length 2, Waiting time 267.0
[Simulate] Step 418: Queue length 2, Waiting time 269.0
[Simulate] Step 419: Queue length 2, Waiting time 271.0
[Simulate] Step 420: Queue length 2, Waiting time 273.0
[Simulate] Step 421: Queue length 2, Waiting time 275.0
[Simulate] Step 422: Queue length 3, Waiting time 278.0
[Simulate] Step 423: Queue length 3, Waiting time 281.0
[Simulate] Step 424: Queue length 3, Waiting time 284.0
[Simulate] Step 425: Queue length 3, Waiting time 287.0
[Simulate] Step 426: Queue length 3, Waiting time 290.0
[Simulate] Step 427: Queue length 3, Waiting time 293.0
[Simulate] Step 428: Queue length 3, Waiting time 296.0
[Simulate] Step 429: Queue length 3, Waiting time 299.0
[Simulate] Step 430: Queue length 3, Waiting time 302.0
[Simulate] Step 431: Queue length 3, Waiting time 305.0
[Simulate] Step 432: Queue length 3, Waiting time 308.0
[Simulate] Step 433: Queue length 3, Waiting time 311.0
[Simulate] Step 434: Queue length 3, Waiting time 314.0
[Simulate] Step 435: Queue length 3, Waiting time 317.0
[Simulate] Step 436: Queue length 3, Waiting time 320.0
[Simulate] Step 437: Queue length 3, Waiting time 323.0
[Simulate] Step 438: Queue length 3, Waiting time 326.0
[Simulate] Step 439: Queue length 3, Waiting time 329.0
[Simulate] Step 440: Queue length 3, Waiting time 332.0
[Simulate] Step 441: Queue length 3, Waiting time 335.0
[Simulate] Step 442: Queue length 3, Waiting time 338.0
[Simulate] Step 443: Queue length 3, Waiting time 341.0
[Simulate] Step 444: Queue length 3, Waiting time 344.0
[Simulate] Step 445: Queue length 3, Waiting time 347.0
[Simulate] Step 446: Queue length 3, Waiting time 350.0
[Simulate] Step 447: Queue length 3, Waiting time 353.0
[Simulate] Step 448: Queue length 3, Waiting time 356.0
[Simulate] Step 449: Queue length 3, Waiting time 359.0
[Simulate] Step 450: Queue length 3, Waiting time 362.0
[Simulate] Step 451: Queue length 3, Waiting time 365.0
[Simulate] Step 452: Queue length 3, Waiting time 368.0
[Simulate] Step 453: Queue length 3, Waiting time 371.0
[Simulate] Step 454: Queue length 3, Waiting time 374.0
[Simulate] Step 455: Queue length 3, Waiting time 377.0
[Simulate] Step 456: Queue length 3, Waiting time 380.0
[Simulate] Step 457: Queue length 3, Waiting time 383.0
[Simulate] Step 458: Queue length 3, Waiting time 386.0
[Simulate] Step 459: Queue length 3, Waiting time 389.0
[Simulate] Step 460: Queue length 3, Waiting time 392.0
[Step 460] Agent 0 Action: 2, Reward: -0.3920
[SetYellow] TL TL: Set yellow phase 7 out of 8 phases.
[Simulate] Step 461: Queue length 3, Waiting time 395.0
[Simulate] Step 462: Queue length 3, Waiting time 398.0
[Simulate] Step 463: Queue length 3, Waiting time 401.0
[Simulate] Step 464: Queue length 3, Waiting time 404.0
[Step 464] Adaptive green duration: 50
[Simulate] Step 465: Queue length 3, Waiting time 407.0
[Simulate] Step 466: Queue length 3, Waiting time 410.0
[Simulate] Step 467: Queue length 3, Waiting time 413.0
[Simulate] Step 468: Queue length 3, Waiting time 416.0
[Simulate] Step 469: Queue length 3, Waiting time 419.0
